"archive","extension","size_gb","output_dir","status","deleted","exit_code","detail_log","message"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Saas_Growth_Kit_2024.zip",".zip","0.1269","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Saas_Growth_Kit_2024","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\022_Saas_Growth_Kit_2024.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_Growth_Tactics_Alex_Estner.zip",".zip","0.0011","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_Growth_Tactics_Alex_Estner","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\023_SaaS_Growth_Tactics_Alex_Estner.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Secret_Cash_Course_SLENDERMAN_BBHF.zip",".zip","0.9424","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Secret_Cash_Course_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\024_Secret_Cash_Course_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\THE ULTIMATE ENTREPRENEUR 200,000 PROMPTS.rar",".rar","0.3648","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\THE ULTIMATE ENTREPRENEUR 200,000 PROMPTS","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\025_THE_ULTIMATE_ENTREPRENEUR_200_000_PROMPTS.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\The_AI_Cinematographers_Midjourney_Playbook_Guide_SLENDERMAN_BBHF.zip",".zip","0.4563","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\The_AI_Cinematographers_Midjourney_Playbook_Guide_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\026_The_AI_Cinematographers_Midjourney_Playbook_Guide_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\THE_AI_ULTIMATE_COLLECTION_Slender.zip",".zip","0.4953","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\THE_AI_ULTIMATE_COLLECTION_Slender","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\027_THE_AI_ULTIMATE_COLLECTION_Slender.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\The_Ultimate_SAAS_Course_SLENDERMAN_BBHF.zip",".zip","2.0419","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\The_Ultimate_SAAS_Course_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\028_The_Ultimate_SAAS_Course_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Ultimate_ADHD_Brain_Template_2.0_SLENDERMAN_BBHF.zip",".zip","0.2053","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Ultimate_ADHD_Brain_Template_2.0_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\029_Ultimate_ADHD_Brain_Template_2.0_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\What_To_Ship_Idea_List_SLENDERMAN_BBHF.zip",".zip","0.0008","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\What_To_Ship_Idea_List_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\030_What_To_Ship_Idea_List_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Zero_to_Founder_2024.zip",".zip","0.0076","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Zero_to_Founder_2024","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\031_Zero_to_Founder_2024.log","extracted successfully; archive deleted"
